"screen_name","text","stripped_text2"
"moharnab_saikia","@SamsungMobileUS ordered my s22 ultra on 02/12 and it was to be delivered on 03/04 i.e today. Instead the expected shipping date is removed and expected delivery date moved to 03/25(~ 1.5 months). Being a loyal Samsung customer for almost 7 years this is #disappointing. #s22ultra","@SamsungMobileUS ordered my s22 ultra on 02/12 and it was to be delivered on 03/04 i.e today. Instead the expected shipping date is removed and expected delivery date moved to 03/25(~ 1.5 months). Being a loyal Samsung customer for almost 7 years this is #disappointing. #s22ultra"
"tweetwithmarry","The Galaxy S22 Ultra is here. Pre-order now and get exclusive limited time benefits including Galaxy Buds Pro, Leather Cover and Samsung Care+ at a price of Rs. 244,999 only! What are you waiting for, break the rules with Galaxy.

Limited time offer. https://t.co/UezWVePOAL","The Galaxy S22 Ultra is here. Pre-order now and get exclusive limited time benefits including Galaxy Buds Pro, Leather Cover and Samsung Care+ at a price of Rs. 244,999 only! What are you waiting for, break the rules with Galaxy.

Limited time offer. https://t.co/UezWVePOAL"
"Whitestone_DE","[2PACK] Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, ... https://t.co/ebVoPqneHw via @amazon","[2PACK] Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, ... https://t.co/ebVoPqneHw via @amazon"
"Whitestone_DE","Galaxy S22 Ultra Whitestone Dome Glass + Everything Else https://t.co/4Wl29EHsVo - @GregglesTV

Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, Full Tem... https://t.co/6uFPlhKMgE via @amazon","Galaxy S22 Ultra Whitestone Dome Glass + Everything Else https://t.co/4Wl29EHsVo - @GregglesTV

Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, Full Tem... https://t.co/6uFPlhKMgE via @amazon"
"Whitestone_DE","[2PACK] Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, ... https://t.co/i1M8oYLMWR via @amazon","[2PACK] Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, ... https://t.co/i1M8oYLMWR via @amazon"
"Whitestone_DE","[2PACK] Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, ... https://t.co/ANfnh1mTPa via @amazon","[2PACK] Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, ... https://t.co/ANfnh1mTPa via @amazon"
"Whitestone_DE","Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, Full Tem... https://t.co/ByKPWmOeP2 via @amazon","Whitestone Dome Glass Screen Protector for Samsung Galaxy S22 Ultra, Full Tem... https://t.co/ByKPWmOeP2 via @amazon"
"Whitestone_DE","Whitestone is already geared up to protect Galaxy S22 https://t.co/ruiV5uLQQO @androidcentral 

[Dome Glass] Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/rw5nAPbn1K","Whitestone is already geared up to protect Galaxy S22 https://t.co/ruiV5uLQQO @androidcentral 

[Dome Glass] Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

[Dome Glass] Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/rw5nAPbn1K"
"Whitestone_DE","Whitestone is already geared up to protect Galaxy S22 https://t.co/ruiV5uLQQO @androidcentral 

Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/8uhGetGyPq","Whitestone is already geared up to protect Galaxy S22 https://t.co/ruiV5uLQQO @androidcentral 

Galaxy S21 Ultra https://t.co/LO8ASC0vve via @amazonDE

Galaxy S22 Ultra https://t.co/83OD9QvmO4 via @amazonDE

https://t.co/8uhGetGyPq"
"Whitestone_DE","Whitestone Samsung Galaxy S22 Ultra Case (Crystal Clear) Premium Protection w... https://t.co/lVEdsrqBrB via @amazon","Whitestone Samsung Galaxy S22 Ultra Case (Crystal Clear) Premium Protection w... https://t.co/lVEdsrqBrB via @amazon"
